cipher,security,energy,power,duration
sc_chacha8_neon,0.5,0.000000,0.0,5.72175 (4.18655 + 1.48814)
sc_chacha8_neon,0.5,0.000000,0.00,5.7435 (2.86371 + 2.84129)
sc_chacha8_neon,0.5,0.000000,0.0,5.85845 (1.59118 + 4.22642)
sc_chacha8_neon+sc_freestyle_fast,0.875,0.000000,0.00,16.3555 (5.2389 + 11.066)
sc_chacha8_neon+sc_freestyle_fast,1.25,0.000000,0.000,24.385 (3.65087 + 20.7054)
sc_chacha8_neon+sc_freestyle_fast,1.625,0.000000,0.000,32.785 (2.24026 + 30.4509)
sc_freestyle_fast+sc_chacha8_neon,0.875,0.000000,0.00,32.5658 (19.2124 + 12.5421)
sc_freestyle_fast+sc_chacha8_neon,1.25,0.000000,0.00,37.7927 (13.9315 + 23.5856)
sc_freestyle_fast+sc_chacha8_neon,1.625,0.000000,0.00,42.1484 (7.0184 + 34.954)
sc_freestyle_fast,2.0,0.000000,0.00,24.8159 (18.5446 + 6.27115)
sc_freestyle_fast,2.0,0.000000,0.00,24.7108 (12.3336 + 12.4018)
sc_freestyle_fast,2.0,0.000000,0.00,24.8486 (6.1199 + 18.6061)
