cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,1,0.000000,0.00,1.4595 (0.38797 + 1.06152)
sc_chacha8_neon,0.5,2,0.000000,0.0,1.45292 (0.384958 + 1.0569)
sc_chacha8_neon,0.5,3,0.000000,0.0,1.50465 (0.414044 + 1.09989)
sc_chacha8_neon+sc_freestyle_fast,0.875,1,0.000000,0.00,7.7419 (0.443702 + 7.30285)
sc_chacha8_neon+sc_freestyle_fast,1.25,2,0.000000,0.0,7.81725 (0.449999 + 7.3427)
sc_chacha8_neon+sc_freestyle_fast,1.625,3,0.000000,0.00,7.7233 (0.435158 + 7.30715)
sc_freestyle_fast+sc_chacha8_neon,0.875,1,0.000000,0.0,3.57505 (2.47406 + 1.09386)
sc_freestyle_fast+sc_chacha8_neon,1.25,2,0.000000,0.00,3.8266 (2.56346 + 1.22181)
sc_freestyle_fast+sc_chacha8_neon,1.625,3,0.000000,0.0,3.61412 (2.5061 + 1.11751)
sc_freestyle_fast,2.0,1,0.000000,0.0,9.70005 (2.44589 + 7.26135)
sc_freestyle_fast,2.0,2,0.000000,0.00,9.6772 (2.43284 + 7.23055)
sc_freestyle_fast,2.0,3,0.000000,0.00,9.6961 (2.44528 + 7.25485)
