cipher,security,energy,power,duration
sc_chacha8_neon,0.5,11.1078,0.997952,11.1306 (2.79364 + 8.45)
sc_chacha8_neon,0.5,11.9689,1.13004,10.5916 (2.68914 + 8.0028)
sc_chacha8_neon,0.5,10.469,0.935743,11.1879 (2.7494 + 8.3343)
sc_chacha8_neon+sc_freestyle_fast,0.875,50.273,2.15184,23.3628 (3.09325 + 20.2573)
sc_chacha8_neon+sc_freestyle_fast,1.25,50.3655,2.14542,23.4758 (3.1399 + 20.3619)
sc_chacha8_neon+sc_freestyle_fast,1.625,51.197,2.18698,23.4099 (3.09344 + 20.3068)
sc_freestyle_fast+sc_chacha8_neon,0.875,66.3135,2.25315,29.4314 (4.71566 + 24.7138)
sc_freestyle_fast+sc_chacha8_neon,1.25,66.5185,2.26124,29.4168 (4.73184 + 24.688)
sc_freestyle_fast+sc_chacha8_neon,1.625,66.265,2.24950,29.4577 (4.71828 + 24.7095)
sc_freestyle_fast,2.0,41.7416,2.30338,18.1219 (4.44574 + 13.6667)
sc_freestyle_fast,2.0,41.8362,2.30963,18.1138 (4.41965 + 13.6752)
sc_freestyle_fast,2.0,42.0385,2.32143,18.1089 (4.44094 + 13.6714)
