cipher,security,energy,power,duration
sc_aes128_ctr,0.5,3.7358695,2.506779337074936862450099895,1.490306484
sc_aes256_ctr,1.5,4.8837185,2.793480038855646064991107094,1.7482560935
sc_chacha12_neon,1.0,2.127529,2.109574145477140508794237374,1.0085111275
sc_chacha20_neon,1.5,2.8502405,2.625112330073058517287543645,1.0857594425
sc_chacha8_neon,0.5,2.0699965,2.120350977742787192828376593,0.9762518195
sc_freestyle_balanced,2.5,84.1845825,2.860145789768183618580148115,29.433668312
sc_freestyle_fast,2.0,27.143662,2.831612857917229030237269550,9.585936836
sc_freestyle_secure,3.0,312.079218,2.892829716512101543079213552,107.8802586335
sc_rabbit,1.4,3.439609,2.383832410194869112591987078,1.442890442
sc_salsa12,0.9,2.2163485,2.131580707541655221660939785,1.0397675735
sc_salsa20,1.4,2.825462,2.392732316790773276532296787,1.18085169
sc_salsa8,0.4,2.2339465,2.266850037984980505650209564,0.9854849075
sc_sosemanuk,1.4,5.135983,2.098284951721428826343722701,2.447705206
