cipher,security,energy,power,duration
sc_aes128_ctr,0.5,0.007222602262362248844078790658,0.05743696519973883225524976634,0.03471576472899483815071101806
sc_aes256_ctr,1.5,0.005966047828500043883869101337,0.0,0.04237563865442515645592918262
sc_chacha12_neon,1.0,0.0007120686205410625088300641362,0.1579961649365838227168357539,0.001819312621688890960355980154
sc_chacha20_neon,1.5,0.001082814625564521336987640815,0.09539222958521784192515612420,0.009206306970971512149391118792
sc_chacha8_neon,0.5,0.0006933746452745355645655151798,0.1774550355261289461198860059,0.0001289950922614539311955196073
sc_freestyle_balanced,2.5,0.2427619621270169165670819062,0.6311777139179615666037460952,0.3217195031228034526179610643
sc_freestyle_fast,2.0,0.09850188539502679728435760749,0.7933128044198377399327795865,0.09543942727329907824164404194
sc_freestyle_secure,3.0,1,1,1
sc_rabbit,1.4,0.005290057569416827706483444621,0.01185666044859531668659125031,0.03705360815640956038906211413
sc_salsa12,0.9,0.001685383167063484543789736255,0.1609081106098790630593023143,0.004189408838344001312508418618
sc_salsa20,1.4,0.004226663807947183478816440902,0.08613136291163595267368683721,0.02021352551460388795054198879
sc_salsa8,0.4,0,0.1566750795910964407127660890,0
sc_sosemanuk,1.4,0.008103395306933400994741861620,0.02438500168010610379107293994,0.04471795005072220307794076497
