cipher,security,energy,power,duration
sc_chacha8_neon,0.5,1.807157,1.493769540640921972860753073,1.2097963915
sc_chacha8_neon,0.5,2.3329755,1.934491417740190840386781052,1.205989067
sc_chacha8_neon,0.5,2.0643625,1.762090057114038860004347885,1.1715419945
sc_chacha8_neon+sc_freestyle_fast,0.875,21.335683,2.769095325982744420194136757,7.704929043
sc_chacha8_neon+sc_freestyle_fast,1.25,21.476946,2.774225726577145854480785243,7.7416000415
sc_chacha8_neon+sc_freestyle_fast,1.625,21.3758175,2.757009902349472076885228536,7.7532610535
sc_freestyle_fast+sc_chacha8_neon,0.875,9.1952395,2.617174830760884034790958133,3.513421951
sc_freestyle_fast+sc_chacha8_neon,1.25,9.2928815,2.655913101594725717563523815,3.4989403435
sc_freestyle_fast+sc_chacha8_neon,1.625,9.323869,2.643663476366294379274782598,3.526874386
sc_freestyle_fast,2.0,26.9485915,2.769299971010136126899733824,9.7311926415
sc_freestyle_fast,2.0,26.754430,2.756159560350196253743745896,9.707141192
sc_freestyle_fast,2.0,26.2683575,2.696607817893360701724805296,9.741259862
