cipher,security,energy,power,duration
sc_chacha8_neon,0.5,6.0377465,1.097644812706546384990985545,5.5006377565
sc_chacha8_neon,0.5,5.636096,1.040850935455852856122765411,5.414892573
sc_chacha8_neon,0.5,5.2769305,1.016466838269563372492801585,5.191443834
sc_chacha8_neon+sc_freestyle_fast,0.875,43.507627,2.281731806798278756544194023,19.067809315
sc_chacha8_neon+sc_freestyle_fast,1.25,43.329947,2.281157834307889401290474614,18.994716783
sc_chacha8_neon+sc_freestyle_fast,1.625,43.8802485,2.302316417456373793162400102,19.0591736945
sc_freestyle_fast+sc_chacha8_neon,0.875,51.457873,2.005118067028880723660145144,25.663263349
sc_freestyle_fast+sc_chacha8_neon,1.25,52.3151915,2.071843332773359740042368301,25.250553781
sc_freestyle_fast+sc_chacha8_neon,1.625,52.945653,2.096605713104933228478503431,25.2530328755
sc_freestyle_fast,2.0,36.9413315,2.255241853516233869016678440,16.3802083765
sc_freestyle_fast,2.0,37.488722,2.284429293774073737162924340,16.4105416185
sc_freestyle_fast,2.0,36.917742,2.251508639523860491194801806,16.396891112
