cipher,security,ratio,energy,power,duration
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0317107,0.503664,0.0391987
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0589934,0.845986,0.0532313
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0757642,0.836666,0.0732298
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00456842,0.228171,0.00281118
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00503757,0.220643,0.00427796
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0118172,0.654487,0.00680115
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.588582,0.971867,0.595376
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.763313,0.973850,0.775383
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.957923,0.984368,0.968926
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.172655,0.962030,0.165413
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.216176,0.937151,0.215435
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.269012,0.969983,0.264354
sc_chacha20_neon,1.5,4,0.00278930,0.162918,0.00976798
sc_chacha8_neon,0.5,4,0.00,0.0,0.00
sc_freestyle_balanced,2.5,4,0.261105,0.923315,0.266442
sc_freestyle_fast,2.0,4,0.0854706,0.943322,0.0756924
sc_freestyle_secure,3.0,4,1,1,1
