cipher,security,energy,power,duration
sc_chacha20_neon+sc_freestyle_fast,1.625,0.0257232,0.288436,0.0411162
sc_chacha20_neon+sc_freestyle_fast,1.75,0.0490389,0.524179,0.0608558
sc_chacha20_neon+sc_freestyle_fast,1.875,0.0659755,0.682056,0.0721336
sc_chacha8_neon+sc_chacha20_neon,0.75,0.00220892,0.107626,0.00735383
sc_chacha8_neon+sc_chacha20_neon,1.0,0.00793106,0.282064,0.0112725
sc_chacha8_neon+sc_chacha20_neon,1.25,0.00729047,0.246703,0.0115002
sc_freestyle_balanced+sc_freestyle_secure,2.625,0.533255,0.916015,0.554965
sc_freestyle_balanced+sc_freestyle_secure,2.75,0.792085,0.973119,0.802040
sc_freestyle_balanced+sc_freestyle_secure,2.875,1,1,1
sc_freestyle_fast+sc_freestyle_balanced,2.125,0.147999,0.782899,0.160293
sc_freestyle_fast+sc_freestyle_balanced,2.25,0.207331,0.759467,0.232668
sc_freestyle_fast+sc_freestyle_balanced,2.375,0.262561,0.792822,0.290442
sc_chacha20_neon,1.5,0.0,0,0.00712173
sc_chacha8_neon,0.5,0.00123648,0.277767,0
sc_freestyle_balanced,2.5,0.127127,0.608316,0.156928
sc_freestyle_fast,2.0,0.0429847,0.717455,0.0420715
sc_freestyle_secure,3.0,0.499387,0.954198,0.506887
