cipher,security,energy,power,duration
sc_chacha12_neon,1.0,1.15047,1.23647,0.930445
sc_chacha8_neon,0.5,1.03864,1.22820,0.84566
sc_freestyle_balanced,2.5,10.2602,1.98551,5.16755
sc_freestyle_secure,3.0,38.1474,2.51931,15.142
sc_chacha8_neon+sc_chacha12_neon,0.625,1.13713,1.20474,0.94388
sc_chacha8_neon+sc_chacha12_neon,0.75,1.39392,1.38267,1.00814
sc_chacha8_neon+sc_freestyle_secure,1.125,24.9233,2.37405,10.4982
sc_chacha8_neon+sc_freestyle_secure,1.75,41.767,2.52705,16.528
sc_freestyle_balanced+sc_freestyle_secure,2.625,35.5199,2.41222,14.725
sc_freestyle_balanced+sc_freestyle_secure,2.75,50.8805,2.55150,19.9414
