cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.000347342,0.0292130,0.00
sc_freestyle_balanced,2.5,4,0.152648,0.789791,0.170064
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,1,0.993963,1
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.599172,0.959121,0.610337
sc_freestyle_secure,3.0,4,0.618353,0.982143,0.617581
sc_chacha12_neon,1.0,4,0.00,0.0,0.00132164
sc_chacha8_neon+sc_chacha12_neon,0.625,1,0.0123582,0.312627,0.0161354
sc_chacha8_neon+sc_chacha12_neon,0.75,2,0.00714676,0.305079,0.00394335
sc_chacha8_neon+sc_freestyle_secure,1.125,1,0.719021,1,0.709969
sc_chacha8_neon+sc_freestyle_secure,1.75,2,0.454111,0.962916,0.456446
