cipher,security,ratio,energy,power,duration
sc_chacha12_neon,1.0,4,0.189134,0.712981,0.265272
sc_chacha8_neon,0.5,4,0.141993,0.534206,0.265802
sc_freestyle_balanced,2.5,4,9.44825,2.52379,3.74368
sc_freestyle_secure,3.0,4,36.5815,2.69529,13.5724
sc_chacha8_neon+sc_chacha12_neon,0.625,1,0.367433,1.24689,0.294679
sc_chacha8_neon+sc_chacha12_neon,0.75,2,0.2235,0.712750,0.313574
sc_chacha8_neon+sc_freestyle_secure,1.125,1,13.0352,2.58148,5.0495
sc_chacha8_neon+sc_freestyle_secure,1.75,2,22.1728,2.63562,8.41275
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,20.8734,2.55479,8.1703
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,27.4933,2.60773,10.543
