cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0.0893118,0.0
sc_freestyle_balanced,2.5,4,0.124500,0.606524,0.153425
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.697569,0.941357,0.708235
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,1,0.974652,1
sc_freestyle_secure,3.0,4,0.526440,1,0.508098
sc_chacha12_neon,1.0,4,0.0000756077,0.0,0.00584159
sc_chacha8_neon+sc_chacha12_neon,0.625,1,0.00807837,0.130478,0.0168724
sc_chacha8_neon+sc_chacha12_neon,0.75,2,0.0119463,0.227706,0.0183118
sc_chacha8_neon+sc_freestyle_secure,1.125,1,0.537170,0.934243,0.543812
sc_chacha8_neon+sc_freestyle_secure,1.75,2,0.846664,0.984364,0.838035
