cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0E+5,0.0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.102758,0.862478,0.0665694
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0438334,0.313867,0.0865670
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0744458,0.578473,0.0758806
sc_chacha20_neon,1.5,4,0.0,0E+5,0.00154370
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.120379,0.601992,0.145361
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.133030,0.615537,0.161107
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.144776,0.610928,0.181438
sc_freestyle_fast,2.0,4,0.130646,0.870170,0.0967856
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.246891,1,0.191103
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.186939,0.659813,0.212019
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.180258,0.671737,0.226616
sc_freestyle_balanced,2.5,4,0.282185,0.792283,0.297628
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.673380,0.955646,0.637326
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.753835,0.973228,0.705504
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.759528,0.939494,0.738524
sc_freestyle_secure,3.0,4,1,0.928793,1
