cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0,0.0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00686631,0.153372,0.00677614
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00477610,0.0800856,0.00683798
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00418642,0.0349972,0.00853972
sc_chacha20_neon,1.5,4,0.00163787,0.123965,0.000499449
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0402009,0.547828,0.0435777
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0565166,0.547725,0.0643241
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0715905,0.683793,0.0757480
sc_freestyle_fast,2.0,4,0.0807456,0.741859,0.0832545
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.161862,0.764101,0.173854
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.202625,0.802041,0.215386
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.227483,0.800951,0.243134
sc_freestyle_balanced,2.5,4,0.265277,0.738957,0.294972
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.592627,0.931334,0.607828
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.743984,0.966275,0.753055
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.848767,0.988414,0.851708
sc_freestyle_secure,3.0,4,1,1,1
