cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0.257902,0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0353664,0,0.0938122
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0498628,0.227289,0.0943893
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0361027,0.0425905,0.100636
sc_chacha20_neon,1.5,4,0.00575228,0.557559,0.0000797894
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.103443,0.321347,0.171885
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.144246,0.569411,0.185763
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.128960,0.441262,0.188052
sc_freestyle_fast,2.0,4,0.0358471,0.138325,0.0788162
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.253869,0.580845,0.329697
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.251694,0.548768,0.336275
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.242428,0.489417,0.341876
sc_freestyle_balanced,2.5,4,0.170757,0.708710,0.195706
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,1,0.971209,0.973729
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.997005,0.994316,0.982644
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.983472,0.986697,1
sc_freestyle_secure,3.0,4,0.597754,1,0.581360
