cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0.0282953,0.0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0160887,0.179344,0.0208388
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0178232,0.260481,0.0210576
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0195362,0.298074,0.0263450
sc_chacha20_neon,1.5,4,0.000184551,0.0,0.00392054
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0891761,0.688335,0.0873258
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0942942,0.736007,0.0878858
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0888271,0.680090,0.0881371
sc_freestyle_fast,2.0,4,0.0686936,0.711728,0.0582491
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.256849,0.687481,0.303851
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.266031,0.735116,0.304019
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.257684,0.701179,0.307101
sc_freestyle_balanced,2.5,4,0.184938,0.648458,0.222413
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.997683,1,0.987110
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,1,0.985696,0.987262
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.967192,0.956839,1
sc_freestyle_secure,3.0,4,0.756198,0.986763,0.747380
