cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0E+6,0.00
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0,0E+5,0.0623071
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0584948,0.526782,0.0710213
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0815943,0.640814,0.0880423
sc_chacha20_neon,1.5,4,0.0,0E+6,0.00766515
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.104900,0.589267,0.141013
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.130564,0.639468,0.168347
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.194662,0.821317,0.202663
sc_freestyle_fast,2.0,4,0.102997,0.774759,0.0939058
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.167206,0.690051,0.208199
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.162637,0.603086,0.236795
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.221486,0.745636,0.265396
sc_freestyle_balanced,2.5,4,0.281541,0.862948,0.295923
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.566582,0.965142,0.568453
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.721762,0.927162,0.768490
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.783637,0.853897,0.914016
sc_freestyle_secure,3.0,4,1,1,1
