cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.000158853,0.591500,0.00
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.000592124,0.173074,0.00233596
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0000152454,0.101076,0.00267128
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.000138450,0,0.00315480
sc_chacha20_neon,1.5,4,0.00,0.447352,0.000462805
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0233475,0.847238,0.0232041
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0426448,0.873315,0.0429052
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0596877,0.784581,0.0626273
sc_freestyle_fast,2.0,4,0.0783652,0.920114,0.0785880
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.123019,0.889489,0.125476
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.168502,0.889360,0.172366
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.216803,0.951068,0.217780
sc_freestyle_balanced,2.5,4,0.261457,0.928072,0.264879
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.447975,0.953576,0.451285
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.633878,0.987928,0.632517
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.816562,1,0.812314
sc_freestyle_secure,3.0,4,1,0.983990,1
