cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0E+6,0.0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.155685,0.883637,0.113881
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.167246,0.546759,0.133228
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0,0E+5,0.231633
sc_chacha20_neon,1.5,4,0.0,0E+6,0.0289498
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.267681,0.717474,0.282473
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.249772,0.690197,0.290960
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.253590,0.683102,0.292643
sc_freestyle_fast,2.0,4,0.0180876,0.0986718,0.116296
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.293564,0.648659,0.338414
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.364227,0.826177,0.354170
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.228835,0.540336,0.364803
sc_freestyle_balanced,2.5,4,0.178846,1,0.120350
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,1,0.886754,0.963049
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.888277,0.770923,0.977746
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.890528,0.801178,1
sc_freestyle_secure,3.0,4,0.297179,0.673540,0.354497
