cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0,0,0.00
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0136706,0.200628,0.0155708
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0146971,0.198949,0.0175597
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0110096,0.0900449,0.0178872
sc_chacha20_neon,1.5,4,0.00392787,0.101541,0.00266453
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0821097,0.674488,0.0805425
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0810897,0.631887,0.0823012
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0804899,0.631482,0.0830339
sc_freestyle_fast,2.0,4,0.0627711,0.636882,0.0591912
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.255554,0.613067,0.307729
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.248485,0.570141,0.311274
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.255217,0.625465,0.313022
sc_freestyle_balanced,2.5,4,0.190985,0.574897,0.235058
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.994742,1,0.988057
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.993706,0.977618,0.999563
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1,0.989419,1
sc_freestyle_secure,3.0,4,0.763843,0.966155,0.767911
