cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0.0,0.00
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00792489,0.150603,0.0153585
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00257299,0.0449757,0.00665113
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00475369,0.0833340,0.0111132
sc_chacha20_neon,1.5,4,0.00257957,0.146101,0.000577506
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0622956,0.599006,0.0756543
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0433764,0.591118,0.0490243
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0599975,0.648128,0.0675921
sc_freestyle_fast,2.0,4,0.0494373,0.610432,0.0561804
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.271991,0.853717,0.291071
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.179353,0.852217,0.186868
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.208085,0.820467,0.226004
sc_freestyle_balanced,2.5,4,0.167721,0.812332,0.180601
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,1,0.982696,1
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.645205,1,0.630794
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.770792,0.971187,0.774089
sc_freestyle_secure,3.0,4,0.639596,0.987914,0.631134
