cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0E+6,0.00
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00,0E+5,0.0224137
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00,0E+5,0.0195255
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0143523,0.423133,0.0253678
sc_chacha20_neon,1.5,4,0.00,0E+6,0.00468451
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0687084,0.595315,0.104231
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0637859,0.587007,0.0976969
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0597741,0.547577,0.0981784
sc_freestyle_fast,2.0,4,0.00244843,0.0879816,0.0194744
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.274027,0.861681,0.300285
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.278035,0.864863,0.303638
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.270610,0.856168,0.298404
sc_freestyle_balanced,2.5,4,0.0242094,0.891659,0.0188183
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.939743,0.960349,0.939472
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,1,0.960533,1
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.999877,1,0.960119
sc_freestyle_secure,3.0,4,0.0402275,0.600569,0.0573628
