cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0.0,0.00
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00420367,0.0774560,0.00580669
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00764456,0.161053,0.00651141
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00742400,0.149817,0.00717531
sc_chacha20_neon,1.5,4,0.000205793,0.00161798,0.000705960
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0412403,0.502500,0.0408255
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0710555,0.665251,0.0677652
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0854052,0.736880,0.0784872
sc_freestyle_fast,2.0,4,0.0575440,0.797501,0.0373721
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.175047,0.860687,0.168987
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.250286,0.865626,0.254880
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.267543,0.845502,0.280504
sc_freestyle_balanced,2.5,4,0.144375,0.696718,0.163353
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.606776,0.945285,0.620031
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.904811,0.988035,0.908357
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1,0.997263,1
sc_freestyle_secure,3.0,4,0.584121,1,0.568232
