cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0E+6,0.00933542
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0,0E+6,0.0328584
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0373646,0.535934,0.0361380
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0,0E+5,0.0456125
sc_chacha20_neon,1.5,4,0.0,0E+6,0.00796707
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.130515,0.755977,0.112243
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0837289,0.487308,0.111633
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.176633,1,0.115193
sc_freestyle_fast,2.0,4,0.0,0E+6,0.00
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.253938,0.570503,0.313711
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.253637,0.584961,0.305197
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.253399,0.555654,0.321790
sc_freestyle_balanced,2.5,4,0.0,0E+6,0.00765423
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.986566,0.718409,1
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,1,0.733279,0.992957
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.966410,0.715468,0.983344
sc_freestyle_secure,3.0,4,0.0281115,0.443431,0.0314626
