cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00134295,0.621155,0.00
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.000167469,0.0887154,0.00127745
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00104345,0.290503,0.00128305
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00,0,0.00159084
sc_chacha20_neon,1.5,4,0.00118428,0.482018,0.000462805
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0219274,0.748719,0.0218407
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0413018,0.826472,0.0414945
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0608431,0.855184,0.0615069
sc_freestyle_fast,2.0,4,0.0794567,0.938345,0.0785880
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.129331,0.941399,0.129441
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.173181,0.908411,0.176194
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.223352,0.949658,0.224853
sc_freestyle_balanced,2.5,4,0.262332,0.946026,0.264879
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.459369,0.947554,0.465607
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.646066,0.988993,0.647314
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.824207,0.949579,0.836981
sc_freestyle_secure,3.0,4,1,1,1
