cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0E+6,0.00281987
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00,0E+4,0.0200712
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0173122,0.796754,0.0170423
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00,0E+5,0.0178697
sc_chacha20_neon,1.5,4,0.00,0E+6,0.00127379
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0633346,0.674431,0.0895680
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0614468,0.631627,0.0929594
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0605885,0.640372,0.0902778
sc_freestyle_fast,2.0,4,0.00,0E+6,0.00
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.256919,0.836372,0.303864
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.264671,0.866063,0.302276
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.254481,0.825809,0.304846
sc_freestyle_balanced,2.5,4,0.00,0E+5,0.00321674
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.933587,0.962414,0.969907
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.985131,0.998550,0.986498
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1,1,1
sc_freestyle_secure,3.0,4,0.00,0E+5,0.0153364
