cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0.0,0.0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00439167,0.0879461,0.00267909
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00529429,0.0894270,0.00550463
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00817377,0.131728,0.00847900
sc_chacha20_neon,1.5,4,0.00176762,0.0130251,0.00513360
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0326003,0.364797,0.0353074
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0614867,0.598426,0.0549570
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0892118,0.744619,0.0751857
sc_freestyle_fast,2.0,4,0.0749737,0.779756,0.0533471
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.154584,0.790730,0.149905
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.206568,0.763757,0.220405
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.259278,0.749363,0.291309
sc_freestyle_balanced,2.5,4,0.189285,0.644509,0.230337
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.515185,0.875679,0.545868
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.766968,0.955403,0.776750
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1,0.985954,1
sc_freestyle_secure,3.0,4,0.780388,1,0.762308
