cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.263099,0.722094,0.178230
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.199099,0.525948,0.196587
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.112470,0.465205,0.0197419
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.108465,0.475041,0.00237092
sc_chacha20_neon,1.5,0,0.247240,0.704588,0.160836
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.318826,0.717268,0.281845
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.182321,0.743061,0.0243944
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0E+5,0E+11,0.0
sc_freestyle_fast,2.0,0,0.0784502,0.316779,0.0273500
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.137271,0.355205,0.206802
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.170406,0.501605,0.146381
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.353171,0.953248,0.186164
sc_freestyle_balanced,2.5,0,0.226237,0.706988,0.120888
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,1,1,1
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.825820,0.939010,0.844167
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.778075,0.858862,0.878394
sc_freestyle_secure,3.0,0,0.152993,0.286821,0.396789
