cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00,0.0,0.0106429
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00211312,0.0651446,0.0131680
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00185915,0.201766,0.00308504
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.000891716,0.211763,0.0
sc_chacha20_neon,1.5,0,0.00193600,0.0245159,0.0169362
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0248407,0.442224,0.0375431
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0247506,0.521817,0.0316855
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0384825,0.617529,0.0461375
sc_freestyle_fast,2.0,0,0.0783418,0.608851,0.105183
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.132700,0.745534,0.157037
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.113603,0.694509,0.141024
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.142786,0.818142,0.157050
sc_freestyle_balanced,2.5,0,0.259123,0.833094,0.289864
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.466070,0.909290,0.494426
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.422536,0.959974,0.427696
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.538471,1,0.530240
sc_freestyle_secure,3.0,0,1,0.994081,1
