cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00550030,0,0.000
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00257576,0.129497,0.00290607
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00292436,0.462957,0.00252404
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00,0.0379125,0.00683556
sc_chacha20_neon,1.5,0,0.00778446,0.595207,0.00744413
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0165883,0.865051,0.0155283
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0292428,0.827591,0.0286044
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0417952,0.867134,0.0410030
sc_freestyle_fast,2.0,0,0.0818532,0.788012,0.0829708
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.0839352,0.864634,0.0836544
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.115444,0.899196,0.114660
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.147244,0.936855,0.145427
sc_freestyle_balanced,2.5,0,0.265653,0.855704,0.267974
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.300870,0.939789,0.298371
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.424746,0.941401,0.421631
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.554746,1,0.544547
sc_freestyle_secure,3.0,0,1,0.914339,1
