cipher,security,ratio,energy,power,duration
sc_chacha8_neon+sc_chacha20_neon,0.75,1,30.0915,2.28073,13.1938
sc_chacha8_neon+sc_chacha20_neon,1.0,2,31.3096,2.46482,12.7026
sc_chacha8_neon+sc_chacha20_neon,1.25,3,21.0912,2.23017,9.45721
sc_chacha20_neon+sc_freestyle_fast,1.625,1,79.0545,2.68680,29.4233
sc_chacha20_neon+sc_freestyle_fast,1.75,2,123.272,2.66612,46.2364
sc_chacha20_neon+sc_freestyle_fast,1.875,3,167.133,2.68795,62.1785
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,314.380,2.68657,117.019
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,424.479,2.70565,156.886
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,535.596,2.72644,196.445
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,1072.40,2.72806,393.100
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,1505.25,2.72895,551.586
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1959.50,2.76130,709.630
