cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.0213253,0.444199,0.0198856
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0216835,0.453473,0.0196891
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0E+4,0E+11,0.00673714
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0147436,0.515546,0.00
sc_chacha20_neon,1.5,0,0.0259604,0.510734,0.0227760
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0433075,0.567699,0.0488556
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0479089,0.673347,0.0435945
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0354307,0.404824,0.0603662
sc_freestyle_fast,2.0,0,0.0864211,0.642135,0.108581
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.152739,0.798444,0.166683
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.138966,0.717295,0.169182
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.180669,0.773755,0.209916
sc_freestyle_balanced,2.5,0,0.195286,0.626126,0.290236
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.480991,0.888029,0.525606
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.587726,0.971930,0.590210
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.713060,1,0.701225
sc_freestyle_secure,3.0,0,1,0.995327,1
