cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00,0,0.00912058
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0135498,0.0963619,0.0307189
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00941928,0.367997,0.00690212
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.000338518,0.179624,0.00
sc_chacha20_neon,1.5,0,0.00473613,0.110428,0.0120427
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0296724,0.400198,0.0355132
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0547101,0.515694,0.0621158
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0729364,0.496656,0.0885518
sc_freestyle_fast,2.0,0,0.0665142,0.328512,0.0987904
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.0563829,0.294481,0.0868682
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.0863441,0.450638,0.112544
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.103726,0.386280,0.147344
sc_freestyle_balanced,2.5,0,0.177751,0.301942,0.282441
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.306483,0.841858,0.309136
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.454297,1,0.420445
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.558526,0.947237,0.538984
sc_freestyle_secure,3.0,0,1,0.914703,1
