cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.000317658,0.0,0.00839248
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00246803,0.116835,0.0101104
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00104992,0.169512,0.00278325
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00,0.144149,0.00
sc_chacha20_neon,1.5,0,0.00172196,0.0639892,0.0105443
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0226487,0.574347,0.0301842
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0276908,0.747497,0.0294388
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0390867,0.795400,0.0414058
sc_freestyle_fast,2.0,0,0.0782995,0.831130,0.0855681
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.129432,0.890685,0.137018
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.118371,0.936775,0.119359
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.149165,0.952680,0.149855
sc_freestyle_balanced,2.5,0,0.259780,0.648288,0.363971
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.467350,0.966657,0.477344
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.429623,0.604278,0.638967
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.550009,0.975164,0.558785
sc_freestyle_secure,3.0,0,1,1,1
