cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00455900,0.0,0.0214551
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0215155,0.328365,0.0212146
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00364955,0.0992122,0.00595684
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0,0.0649458,0.0
sc_chacha20_neon,1.5,0,0.00730518,0.108450,0.0141707
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0497582,0.360980,0.0687840
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0489952,0.391842,0.0630776
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0772429,0.544481,0.0871858
sc_freestyle_fast,2.0,0,0.0655874,0.260946,0.117399
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.196669,0.531611,0.268155
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.200103,0.661653,0.236493
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.239269,0.637548,0.296057
sc_freestyle_balanced,2.5,0,0.235732,0.612614,0.298997
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.749266,0.838910,0.834838
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.800621,0.965828,0.812705
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1,0.999720,1
sc_freestyle_secure,3.0,0,0.945913,1,0.943714
