cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00806763,0.0336147,0.0224671
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0110363,0.0564773,0.0274295
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00124609,0.0551924,0.00219757
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00,0.0425856,0.00
sc_chacha20_neon,1.5,0,0.00914104,0.0,0.0299454
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0471173,0.353872,0.0646733
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0552542,0.610856,0.0503458
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0771420,0.690800,0.0715581
sc_freestyle_fast,2.0,0,0.0921161,0.668144,0.0930861
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.194234,0.744221,0.208390
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.190758,0.744150,0.204195
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.246131,0.750504,0.269703
sc_freestyle_balanced,2.5,0,0.243903,0.596476,0.309604
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.656232,0.863618,0.698896
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.706159,0.929345,0.718510
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.966171,1,0.946395
sc_freestyle_secure,3.0,0,1,0.971392,1
