cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00264882,0.0,0.0275785
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0100676,0.100203,0.0333167
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.000613778,0.0706772,0.00641413
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00,0.104500,0.00
sc_chacha20_neon,1.5,0,0.00547528,0.0397211,0.0298091
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0457486,0.441365,0.0599281
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0504057,0.648555,0.0431119
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0697713,0.793095,0.0546591
sc_freestyle_fast,2.0,0,0.0980276,0.771377,0.0916633
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.175642,0.766697,0.188671
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.163232,0.765825,0.173436
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.211729,0.765810,0.233725
sc_freestyle_balanced,2.5,0,0.248711,0.652999,0.318073
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.577507,0.853426,0.632968
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.601383,0.943877,0.609319
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.819088,1,0.803411
sc_freestyle_secure,3.0,0,1,0.985125,1
