cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.0751454,0.452447,0.0668357
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.107294,0.621453,0.0745861
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0362243,0.372206,0.0
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0312118,0.263357,0.0228213
sc_chacha20_neon,1.5,0,0.0502214,0.292804,0.0703212
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0935127,0.385187,0.140721
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0877218,0.464955,0.0896175
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0241471,0.115395,0.0894881
sc_freestyle_fast,2.0,0,0.0,0.0,0.0504787
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.254871,0.639768,0.313106
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.131891,0.386146,0.236634
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.157232,0.464150,0.240453
sc_freestyle_balanced,2.5,0,0.0425606,0.243974,0.0719018
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.932480,0.921708,1
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.824354,0.850686,0.945745
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1,1,0.994325
sc_freestyle_secure,3.0,0,0.259693,0.692616,0.290824
