cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.0,0.0,0.0135617
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0388369,0.281775,0.0588893
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0207613,0.385853,0.0125507
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00654251,0.236791,0.0
sc_chacha20_neon,1.5,0,0.0167362,0.317659,0.0119971
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0788052,0.672242,0.0678236
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0791135,0.591601,0.0784844
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0803286,0.502540,0.0935707
sc_freestyle_fast,2.0,0,0.0734374,0.420811,0.0966943
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.184328,0.525486,0.244800
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.202578,0.633096,0.239552
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.199760,0.586683,0.248793
sc_freestyle_balanced,2.5,0,0.266731,0.675708,0.311752
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.810876,0.943620,0.817738
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.834573,0.974359,0.823884
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.832498,1,0.806529
sc_freestyle_secure,3.0,0,1,0.968263,1
