cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00575121,0.0652229,0.0131479
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0182609,0.0964302,0.0372196
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00396981,0.0935757,0.00699447
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0,0.0711570,0.00
sc_chacha20_neon,1.5,0,0.00660039,0,0.0213023
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0628087,0.713696,0.0518217
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0642403,0.693437,0.0550982
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0627303,0.673508,0.0547801
sc_freestyle_fast,2.0,0,0.0943753,0.758103,0.0856928
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.221563,0.668005,0.253791
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.220990,0.664971,0.253749
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.221104,0.674780,0.251722
sc_freestyle_balanced,2.5,0,0.249363,0.591158,0.308677
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.845500,0.976250,0.835726
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.862257,0.999490,0.840577
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.858501,1,0.836523
sc_freestyle_secure,3.0,0,1,0.966137,1
