cipher,security,energy,power,duration
sc_chacha8_neon,0.5,0.0007616371158124973512912915073,0.1304014636429248351933489995,0.0007812152066529457313770037143
sc_freestyle_secure,3.0,1,0.9903616083538835629951742990,1
sc_chacha20_neon+sc_freestyle_fast,1.625,0.02052340540515660506758137965,0.7954277088597052422509009228,0.01986140360273718371838637266
sc_chacha20_neon+sc_freestyle_fast,1.75,0.02033749538542887433705891176,0.7856900331382507707440698181,0.01975346829399470955134974513
sc_chacha20_neon+sc_freestyle_fast,1.875,0.02076931065137457135722148519,0.09710506440907039758564919104,0.02866609442618873535888628003
sc_chacha8_neon+sc_chacha20_neon,0.75,0.00005336257623784641580444308500,0.02533609945987013754112961818,0.0001925159338557444568291160564
sc_chacha8_neon+sc_chacha20_neon,1.0,0.0005787867696369864697738290600,0.2806655579639395883429196117,0
sc_chacha8_neon+sc_chacha20_neon,1.25,0,0,0.0002122497021026938657585770518
sc_chacha8_neon+sc_freestyle_fast,0.875,0.02072475319836693465700242385,0.8456939691969762064484751645,0.01961178514266241876692304218
sc_chacha8_neon+sc_freestyle_fast,1.25,0.01998872241557231724825315445,0.8024543132099961078071345042,0.01922686268250289422565987241
sc_chacha8_neon+sc_freestyle_fast,1.625,0.02018849967842887373108722061,0.04841004064124186044937080091,0.02863414487399069144484341377
sc_freestyle_balanced+sc_freestyle_secure,2.625,0.3082053400249626814912612629,0.9307749321411561642412780485,0.3124678229868352250050814549
sc_freestyle_balanced+sc_freestyle_secure,2.75,0.3115943172890208669446168563,0.9345400512949742137049972162,0.3155432341867077932799258083
sc_freestyle_balanced+sc_freestyle_secure,2.875,0.3174482020555616990770625674,1,0.3148299504307400365798831853
sc_freestyle_fast+sc_freestyle_balanced,2.125,0.08257534413486897905721867065,0.2550839150104740178759349150,0.1065995918984476093158689920
sc_freestyle_fast+sc_freestyle_balanced,2.25,0.08328981940870339605488448059,0.9131739915293101737055900930,0.08326813970025688945730692962
sc_freestyle_fast+sc_freestyle_balanced,2.375,0.08371397380647396689530236434,0.2711390591140626291119973133,0.1073313658344709028705936698
