cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0.0174196,0.0
sc_freestyle_balanced,2.5,4,0.185016,0.579740,0.226328
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.691814,0.896581,0.726829
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,1,1,1
sc_freestyle_secure,3.0,4,0.744530,0.976098,0.748666
sc_chacha12_neon,1.0,4,0.00224369,0.0235602,0.00444000
sc_chacha8_neon+sc_chacha12_neon,0.625,1,0.00197605,0,0.00514357
sc_chacha8_neon+sc_chacha12_neon,0.75,2,0.00712814,0.132117,0.00850872
sc_chacha8_neon+sc_freestyle_secure,1.125,1,0.479209,0.868239,0.505482
sc_chacha8_neon+sc_freestyle_secure,1.75,2,0.817152,0.981845,0.821248
