cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0.0,0.0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0101643,0.102389,0.0173801
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0110556,0.131368,0.0175066
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0127484,0.161716,0.0196537
sc_chacha20_neon,1.5,4,0.00176333,0.0127909,0.00524609
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0866750,0.777490,0.0682283
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0868513,0.774647,0.0687785
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0885890,0.793015,0.0688352
sc_freestyle_fast,2.0,4,0.0747916,0.765736,0.0545161
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.260019,0.716979,0.305908
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.258296,0.707563,0.306060
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.260810,0.720374,0.307115
sc_freestyle_balanced,2.5,4,0.188826,0.632921,0.235384
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.990109,0.985056,0.998217
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.997802,0.996497,0.998756
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1,1,1
sc_freestyle_secure,3.0,4,0.778493,0.982020,0.779013
