cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0E+5,0.000649866
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0218777,0.547188,0.0199467
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0234589,0.618991,0.0178196
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0,0E+5,0.0208623
sc_chacha20_neon,1.5,4,0.0,0E+5,0.0
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0700455,0.684085,0.0836602
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0694087,0.776435,0.0703897
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0499073,0.525124,0.0761525
sc_freestyle_fast,2.0,4,0.0523508,0.867384,0.0407446
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.248182,0.782752,0.302810
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.196805,0.750117,0.246971
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.189224,0.728068,0.244453
sc_freestyle_balanced,2.5,4,0.113074,0.789746,0.125295
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,1,1,1
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.765059,0.956190,0.795938
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.793772,0.959852,0.823358
sc_freestyle_secure,3.0,4,0.400708,0.925818,0.420978
