cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0.0849669,0.0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00940395,0.192527,0.0136952
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00703883,0.244401,0.00832514
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.000956843,0,0.00392374
sc_chacha20_neon,1.5,4,0.00163787,0.198399,0.000499449
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0609252,0.561362,0.0714028
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0658178,0.632169,0.0733570
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0678320,0.643382,0.0751728
sc_freestyle_fast,2.0,4,0.0807456,0.763792,0.0832545
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.271716,0.857658,0.285577
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.259177,0.848912,0.273325
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.240540,0.804606,0.259688
sc_freestyle_balanced,2.5,4,0.265277,0.761137,0.294972
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.971411,0.985629,0.978228
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.947388,0.971797,0.960558
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.909708,0.979058,0.918490
sc_freestyle_secure,3.0,4,1,1,1
